AD	 n. 公元；广告（ad）
school	 n. 学校；学院；学派；鱼群 v. 教育
schoolbag	 n.  书包
schoolbag	 n. 书包
schoolmate	 n. 同学；同窗
schoolwork	 n.  学校作业， 课堂作业； 家庭作业
science	 n.  科学； 学科
science	 n. 科学；技术；学科；理科
scientific	 adj.  科学的， 科学上的
scientific	 adj. 科学的，系统的
scientist	 n.  科学家
scientist	 n. 科学家
scissors	 n. 剪刀；剪式跳法 v. 剪开；删除（scissor的第三人称单数）
scold	 v. 责骂；叱责 n. 责骂；爱责骂的人
score	 n.  得分， 分数； 乐谱； 抓痕， 划痕； 二十
score	 n. 分数；二十；配乐；刻痕 v. 获得；评价；划线，刻划；把…记下
scores	 n. 考试成绩；比分（score的复数） v. 得分（score的第三人称单数形式）；刻划
scream	 v. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心 n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
screen	 n. 屏，幕；屏风 v. 筛；拍摄；放映；掩蔽
screen	 v.  掩蔽， 遮蔽， 包庇； 放映， 播放(电视 n. 屏幕，银幕；遮蔽；屏风
sculpture	 n. 雕塑；雕刻；刻蚀 v. 雕塑；雕刻；刻蚀
sea	 n.  海， 海洋
sea	 n. 海；海洋；许多；大量
seagull	 n. 海鸥
seal	 n. 密封；印章；海豹；封条；标志 v. 密封；盖章
seal	 v.  封， 密封 n. 封铅，封条；印，图章；海豹
seaman	 n. 海员，水手；水兵
search	 n&v.  搜索， 寻找； 搜查
search	 v. 搜寻；调查；探求 n. 搜寻；探究，查究
seashell	 n. 海贝，贝壳；海贝壳
seaside	 n. 海边；海滨 adj. 海边的；海滨的
season	 n.  季节
season	 n. 时期；季节；赛季 v. 给…调味；使适应
seat	 n. 座位；所在地；职位 v. 使…坐下；可容纳…的；使就职
seat	 v.  使坐下； 供给…座位， n. 座位，座部；所在地，场所；席位，职位
seaweed	 n. 海藻，海草
second	 adj. 次等的，二等的 num. 第二 n.  秒， 瞬间
second	 n. 秒；第二名；瞬间；二等品 v. 支持 adj. 第二的；次要的；附加的 num. 第二 adv. 第二；其次；居第二位
secondhand	 adj. 二手的；旧的；间接获得的；做旧货生意的 adv. 间接地；间接听来；以旧货
secret	 adj. 秘密的，机密的 n.  秘密
secret	 n. 秘密；秘诀；机密 adj. 秘密的；机密的
secretary	 n.  秘书； 书记； 部长， 大臣
secretary	 n. 秘书；书记；部长；大臣
section	 n. 截面；部分；部门；地区；章节 v. 被切割成片；被分成部分
secure	 adj. 安全的；无虑的；有把握的；稳当的 v. 保护；弄到；招致；缚住
security	 n. 安全；保证；证券；抵押品 adj. 安全的；保安的；保密的
see	 v.  [saw-seen] 看， 观看； 参见， 会晤； 领会， 理解； 想象； 把…看作； 发现； 体
see	 v. 看见；理解；领会 n. (See)人名；(英)西伊；(柬)塞；(德)泽
seed	 n. 种子；根据；精液；萌芽；子孙；原由 v. 播种；结实；成熟；去…籽
seek	 v.  [sought-sought] 寻找， 追求； 征求， 请求； 试图， 设法； 探索
seek	 v. 寻求；寻找；探索；搜索
seem	 v.  好像， 似乎
seem	 v. 似乎；像是；装作 n. (Seem)人名；(英)西姆
seize	 v. 抓住；夺取；理解；逮捕
seldom	 adv.  很少， 不常
seldom	 adv. 很少，不常
select	 v. 挑选；选拔 adj. 精选的；挑选出来的；极好的 n. 被挑选者；精萃
self	 n. 自己，自我；本质；私心 adj. 同一的 vt. 使自花授精；使近亲繁殖 vi. 自花授精
selfish	 adj. 自私的；利己主义的
sell	 v.  [sold-sold] 卖， 出售； 推销
sell	 v. 销售；推销；出卖；欺骗 n. 销售；失望；推销术
semester	 n.  学期
semicircle	 n. 半圆，半圆形
send	 v.  [sent-sent] 送， 寄； 派遣， 打发； 发送； 发射
send	 v. 发送，寄；派遣；使进入；发射 n. 上升运动
senior	 adj. 高级的；年长的；地位较高的；年资较深的，资格较老的 n. 上司；较年长者；毕业班学生
sense	 n. 感觉，功能；观念；道理；理智 v. 感觉到；检测
sense	 v.  觉得， 意识到 n. 感官，官能；感觉；判断力，见识
sensitive	 adj. 敏感的；感觉的；[仪] 灵敏的；感光的；易受伤害的；易受影响的 n. 敏感的人；有灵异能力的人
sentence	 n. [语][计] 句子，命题；宣判，判决 v. 判决，宣判
sentence	 v.  宣判， 判决 n. 句子；判决，宣判
separate	 v.  使分离， 使分开； 划分， 区分， 区别； 分离， 分开； 分居； 使分离， 使分开； 划分， 区分， 区别； 分离， 分开； 分居
separate	 v. 使分离；使分开；使分居 adj. 单独的；分开的；不同的；各自的； n. 分开；抽印本
separately	 adv. 分别地；分离地；个别地
separation	 n. 分离，分开；间隔，距离；[法] 分居；缺口
serious	 adj.  严重的， 危急的； 重要的， 重大的； 认真的， 严肃的， 庄重的
serious	 adj. 严肃的，严重的；认真的；庄重的；危急的
servant	 n.  仆人；　公务员
servant	 n. 仆人，佣人；公务员；雇工
serve	 v.  为…服务； 任； 招待， 接待， 伺候； 符合， 适用于， 满足； 供应；
service	 n.  公共设施， 公共事业； 公用机构， 服务机构； 服务， 劳务； 维修， 保养
service	 n. 服务，服侍；服役；仪式 adj. 服务性的；耐用的；服现役的 v. 维修，检修；保养
session	 n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
set	 n. [数] 集合；一套；布景；[机] 装置 v. 树立；点燃；点缀； adj. 固定的；规定的；固执的
set	 v. 〔小心地〕放置，放下 n. 〔物品的〕一套，一副，一组 adj. 在…位置的，位于…的
settle	 v. 解决；定居；沉淀；下陷 n. 有背长椅
settlement	 n. 解决，处理；[会计] 结算；沉降；殖民
settler	 n. 移居者；殖民者
seven	 num.  七， 七个
seven	 num. 七个，七 n. 七个，七 adj. 七的；七个的
seventeen	 n. 十七，十七个 adj. 十七岁的；十七的，十七个的 num. 十七
seventeen	 num.  十七， 十七个
seventeenth	 num. 第十七 n.  十七分之一
seventh	 n. 第七；七分之一 adj. 第七的；七分之一的 adv. 居第七位地
seventh	 num. 第七 n.  七分之一
seventy	 n. 七十；七十个；七十岁；七十年代 adj. 七十的；七十个的；七十岁的 num. 七十
seventy	 num.  七十， 七十个
several	 adj.  几个， 若干
several	 adj. 几个的；各自的 pron. 几个；数个
severe	 adj. 严峻的；严厉的；剧烈的；苛刻的
sew	 v. 缝合，缝上；缝纫
sex	 n. 性；性别；性行为；色情 v. 引起…的性欲；区别…的性别
shabby	 adj. 破旧的；卑鄙的；吝啬的；低劣的
shade	 n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别 v. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
shadow	 n. 阴影；影子；幽灵；庇护；隐蔽处 v. 遮蔽；使朦胧；尾随；预示 adj. 影子内阁的
shake	 n&v.  [shook-shaken] 摇动， 摇； 颤抖， 震动
shake	 v. 动摇；摇动；震动；握手 n. 摇动；哆嗦
shall	 aux. 应；会；将；必须
shall	 modal verb. 〔某事〕必定，一定〔发生〕
shallow	 adj. 浅的；肤浅的 n. [地理] 浅滩 v. 使变浅
shame	 n. 羞耻，羞愧；憾事，带来耻辱的人 v. 使丢脸，使羞愧
shame	 v.  使蒙受羞辱 n. 羞耻，羞愧；可耻的人；遗憾的事，可惜
shampoo	 n. 洗发剂；洗涤剂 vt.  用洗发剂洗头
shape	 n.  形状， 体形； 幻象； 状况， 状态
shape	 n. 形状；模型；身材；具体化 v. 形成；塑造，使成形；使符合
share	 v. 分享，分担；分摊，分开 n.  一份； 份儿， 股份
share	 v. 分享，分担；分配 n. 份额；股份
shark	 n.  鲨鱼； 勒索者， 诈骗者； 放高利贷的人
shark	 n. 鲨鱼；骗子 v. 诈骗
sharp	 adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的 adv. 急剧地；锐利地；突然地 n. 尖头；骗子；内行 vt. 磨快；把音调升高 vi. 打扮；升音演奏
sharpen	 v. 削尖；磨快；使敏捷；加重
sharpener	 n. 卷笔刀；[机] 磨具；研磨者
shave	 v. 剃须，剃毛 n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀
shaver	 n. 理发师；电动剃刀
she	 pron.  她
she	 pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等） n. 女人；雌性动物
sheep	 n. 羊，绵羊
sheep	 n. 羊，绵羊；胆小鬼
sheet	 n. 薄片，纸张；薄板；床单 v. 覆盖；盖上被单；使成大片 adj. 片状的
shelf	 n.  架子， 搁板
shelf	 n. 架子；搁板；搁板状物；暗礁
shell	 v.  剥…的壳； 炮击 n. 壳，贝壳；外壳，框架；炮弹
shelter	 n. 庇护；避难所；遮盖物 v. 保护；使掩蔽
shine	 v. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众 n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计
shine	 v. 照耀；发光，发亮；干得出色 n.  光泽， 光
shiny	 adj.  光亮的， 有光泽的； 反光的
ship	 v.  用船运； 装运， 运送 n. 船，舰
ship	 v. 运送，乘船；以船运送 n. 船；舰；太空船
shirt	 n.  衬衫
shirt	 n. 衬衫；汗衫，内衣
shock	 n.  震动， 冲击； 震惊， 惊愕； 电震， 电击， 触电
shock	 n. 休克；震惊；震动；打击；禾束堆 v. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆 adj. 浓密的；蓬乱的
shoe	 n.  鞋
shoe	 n. 鞋；蹄铁；外胎 v. 给……穿上鞋；穿……鞋
shoot	 v.  [shot-shot] 发射， 射击； 投， 射门， 投篮； 拍摄； 射杀， 射伤； 发芽
shoot	 v. 射击，射中；拍摄；发芽；使爆炸；给…注射 n. 射击；摄影；狩猎；急流
shooting	 n. 射击；打猎；摄影；射门 v. 射击（shoot的ing形式）
shop	 n.  商店， 店铺； 工厂， 车间
shop	 n. 商店；店铺 v. 购物
shopkeeper	 n. 店主，老板
shopping	 n. 购物，买东西 v. 购物（shop的ing形式）
shore	 v. 支撑，使稳住；用支柱撑住 n. 海滨；支柱
short	 adj. 短的；不足的；矮的，低的 n. 短；缺乏；短路；短裤 adv. 不足；突然；唐突地
short	 adv.  简短地； 突然地， 唐突地 adj. 短的，矮的；简短的；短缺的，不足的
shortcoming	 n. 缺点；短处
shortly	 adv. 立刻；简短地；唐突地
shorts	 n. 短裤
shot	 n. 发射；炮弹；射手；镜头 adj. 用尽的；破旧的；杂色的，闪光的 v. 射击（shoot的过去式和过去分词）
should	 aux. 应该；就；可能；将要
should	 modal verb. 应当，应该 〔用于提供或征求建议〕
shoulder	 n. 肩，肩膀；肩部 v. 肩负，承担
shoulder	 v.  肩负， 承担 n. 肩
shout	 v. 呼喊，呼叫 n.  呼喊， 喊叫声
shout	 v. 呼喊；喊叫；大声说 n. 呼喊；呼叫
show	 v.  表明， 证明； 显示， 出示； 带领； 教， 告知； 演出， 放映； 显现，
show	 v. 显示；说明；演出；展出 n. 显示；表演；炫耀
shower	 n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨 v. 大量地给予；把……弄湿
shower	 v.  洗淋浴； 洒落； 纷纷降落 n. 淋浴；阵雨，暴雨
shut	 v.  [shut-shut, shutting]　关闭， 关上； 打烊
shut	 v. 关闭；停业；幽禁 n. 关闭 adj. 关闭的；围绕的
shuttle	 n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等 v. 使穿梭般来回移动；短程穿梭般运送
shy	 adj.  腼腆的， 害羞的； 胆怯的； 有戒心的， 畏缩的
shy	 adj. 害羞的；畏缩的，胆怯的 v. 投；畏缩；惊退；厌恶 n. 投掷；惊跳
sick	 adj.  有病的， 患病的； 恶心的， 想吐的； 厌恶的； 心烦意乱的， 恼火的
sick	 adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的 n. 病人 v. 使狗去咬；呕吐；追击
sickness	 n. 疾病；呕吐；弊病
side	 n.  面， 侧面， 旁边； 方面； 一方， 一边； 山坡， 坡， 岸
side	 n. 方面；侧面；旁边 v. 支持；赞助；偏袒 adj. 旁的，侧的
sideway	 n. 人行道；小巷 adv. 斜地里 adj. 旁边的；向侧面的（等于sideways）
sideways	 adv. 向侧面地；向一旁 adj. 向侧面的；一旁的
sigh	 v. 叹息，叹气 n. 叹息，叹气
sight	 n. 视力，视觉；看见，瞥见；视域，眼界；情景，景象，奇观；
sight	 n. 视力；景象；眼界；见解 v. 看见；瞄准 adj. 见票即付的；即席的
sightseeing	 n. 观光；游览 adj. 观光的；游览的 v. 观光（sightsee的ing形式）；游览
sign	 n. 迹象；符号；记号；手势；指示牌 v. 签署；签名
sign	 v.  签； 签署 n. 标志，符号；招牌；征兆，迹象
signal	 n. 信号；暗号；导火线 v. 标志；用信号通知；表示 adj. 显著的；作为信号的
signature	 n. 署名；签名；信号
significance	 n. 意义；重要性；意思
silence	 n. 沉默；寂静；缄默；不谈；无声状态 v. 使沉默；使安静；压制；消除噪音 int. 安静！；别作声！
silent	 adj.  寂静的； 沉默的； 无声的， 不发出声音的
silent	 adj. 沉默的；寂静的；无记载的 n. 无声电影
silk	 n.  丝， 丝绸
silk	 n. 丝绸；蚕丝；丝织物 adj. 丝的；丝绸的；丝制的 vi. （玉米）处于长须的阶段中
silly	 adj. 愚蠢的；不明事理的；没头脑的 n. 傻瓜
silver	 v.  镀银 n. 银；银器；银币
similar	 adj.  相似的， 类似的
similar	 adj. 相似的 n. 类似物
simple	 adj.  简单的； 朴素的； 单纯的， 直率的； 迟钝的， 头脑简单的
simple	 adj. 简单的；单纯的；天真的 n. 笨蛋；愚蠢的行为；出身低微者
simplify	 v. 简化；使单纯；使简易
simply	 adv. 简单地；仅仅；简直；朴素地；坦白地
since	 adv.  后来， conj. 自…以来，从…以后；因为，既然 prep. 自…以来，从…以后
since	 conj. 因为；由于；既然；自…以来；自…以后 prep. 自…以来；自…以后 adv. 后来
sincerely	 adv. 真诚地；由衷地，诚恳地
sing	 v.  [sang-sung] 唱， 演唱； 鸡鸣
sing	 v. 唱歌；歌颂；鸣叫；呼号 n. 演唱；鸣声；呼啸声
singer	 n.  歌手
singer	 n. 歌手，歌唱家
single	 adj.  单一的， 单个的； 未婚的， 独身的； (床或
single	 adj. 单一的；单身的；单程的 n. 一个；单打；单程票 v. 选出
singular	 adj.  单数的； 单一的
sink	 v. 下沉，沉没 n. 洗脸盆；洗涤槽；洗碗池
sink	 v. 下沉；消沉；渗透 n. 水槽；洗涤槽；污水坑
sir	 n.  先生； [S-] 爵士
sir	 n. 先生；（用于姓名前）爵士；阁下；（中小学生对男教师的称呼）先生；老师
sister	 n.  姐， 妹
sister	 n. 姐妹；（称志同道合者）姐妹；修女；护士 adj. 姐妹般的；同类型的
sit	 v.  [sat-sat, sitting] 坐， 就座； 坐落， 被安放； 使坐， 使就座
sit	 v. 坐；位于 n. (Sit)人名；(东南亚国家华语)硕；(罗)西特
situation	 n.  形势， 局面， 处境； 环境， 状况； 位置， 地点， 场所； 职位， 职务
situation	 n. 情况；形势；处境；位置
six	 num.  六， 六个
six	 num. 六，六个 n. 六，六个
sixteen	 adj. 十六的，十六个的 num. 十六
sixteen	 num.  十六， 十六个
sixteenth	 num. 第十六 n.  十六分之一
sixteenth	 num. 第十六；十六分之一 adj. 第十六的；十六分之一的
sixth	 n. 月的第六日，（与the连用的）第六个；六分之一 adj. （与 the 连用）第六的，第六个的；六分之一的
sixth	 num. 第六 n.  六分之一
sixty	 num.  六十， 六十个
sixty	 num. 六十；六十个
size	 n. 大小；尺寸 adj. 一定尺寸的 v. 依大小排列
size	 v.  按大小排列 n. 大小，尺寸，尺码；规模
skate	 v.  溜冰， 滑冰 n. 冰鞋
skate	 v. 滑冰；滑过 n. 溜冰；冰鞋
skateboard	 n. 溜冰板 v. 用滑板滑行
ski	 n. 滑雪橇 v. 滑雪 adj. 滑雪（用）的
skill	 n.  技能， 技巧， 手艺； 熟练
skill	 n. 技能，技巧；本领，技术
skilled	 adj. 熟练的；有技能的；需要技能的
skillful	 adj. 熟练的；巧妙的
skillfully	 adv. 巧妙地；精巧地
skin	 n.  皮； 兽皮， 毛皮； 外皮， 外壳
skin	 n. 皮肤；外皮 v. 剥皮
skip	 v. 跳跃；跳绳；遗漏；跳读 n. 跳跃；跳读
skirt	 n.  裙子； 边缘， 外围
skirt	 n. 裙子 v. 绕过，回避；位于…边缘
sky	 n.  天
sky	 n. 天空；顶点 v. 把…投向空中；把…挂得过高
skyscraper	 n. 摩天楼，超高层大楼；特别高的东西
slave	 n. 奴隶；从动装置 v. 苦干；拼命工作
slavery	 n. 奴役；奴隶制度；奴隶身份
sleep	 n&v.  [slept-slept]　睡
sleep	 v. 睡，睡觉 n. 睡眠
sleepy	 adj. 欲睡的；困乏的；不活跃的
sleeve	 n. [机] 套筒，[机] 套管；袖子，[服装] 袖套 vt. 给……装袖子；给……装套筒
slice	 n. 薄片；部分；菜刀，火铲 v. 切下；把…分成部分；将…切成薄片
slice	 v. 切成片，削 n.  薄片， 切片； 一份， 部分
slide	 n. 滑动；幻灯片；滑梯；雪崩 v. 滑动；滑落；不知不觉陷入
slide	 v. （使）滑行，（使）滑动 n. 滑梯
slight	 adj. 轻微的，少量的；脆弱的；细长的；不重要的 v. 轻视，忽略；怠慢 n. 怠慢；轻蔑
slim	 adj. 苗条的；修长的；微小的；差的 v. 使…体重减轻；使…苗条 n. (Slim)人名；(阿拉伯)萨利姆；(英、西)斯利姆
slip	 v. 滑动；滑倒；犯错；失足；减退 n. 滑，滑倒；片，纸片；错误；下跌；事故 adj. 滑动的；有活结的；活络的 abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
slipper	 v.  用拖鞋打 n. 拖鞋；轻便舞鞋
slow	 adj. 慢的；减速的；迟钝的 v. 变慢；变萧条 adv. 慢慢地；迟缓地 n. (Slow)人名；(英)斯洛
slow	 adv.  慢慢地 adj. 慢的；迟钝的，不灵巧的；不忙碌的 v. 慢下来，减速
small	 adj.  小的； 少的； 不重要的
small	 adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的 adv. 小小地；卑鄙地 n. 小件物品；矮小的人
smart	 adj. 聪明的，精明的，高明的；漂亮的 n.  剧痛
smart	 adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的 n. (Smart)人名；(法)斯马尔；(英、德)斯马特
smell	 n. 气味 v. 闻出，闻到，嗅到
smell	 v. 嗅，闻；有…气味 n. 气味，嗅觉；臭味
smelly	 adj. 有臭味的，发臭的
smile	 v.  微笑， 露出笑容； 笑， 用微笑表示 n. 微笑，笑容
smile	 v. 微笑 n. 微笑；笑容；喜色
smog	 n. 烟雾
smoke	 n. 烟；抽烟；无常的事物 v. 冒烟，吸烟；抽烟；弥漫
smoke	 v.  冒烟， 冒气； 抽烟 n. 烟，烟尘；吸烟，抽烟
smoker	 n. 吸烟者；薰制工
smoking	 n. 抽烟；冒气 adv. 冒着烟 adj. 准许吸烟的 v. 吸烟；冒烟（smoke的现在分词）
smooth	 adj. 顺利的；光滑的；平稳的 v. 使光滑；消除（障碍等）；使优雅；缓和 n. 平滑部分；一块平地 adv. 光滑地；平稳地；流畅地
snack	 n. 小吃，快餐；一份，部分 v. 吃快餐，吃点心
snake	 n. 蛇；阴险的人 v. 迂回前进
snake	 v.  蜿蜒； 弯弯曲曲地行进 n. 蛇
snatch	 n. 抢夺；抓举；小量 v. 夺得；抽空做；及时救助
sneaker	 n. 运动鞋；卑鄙者；鬼鬼祟祟做事的人
sneeze	 v. 打喷嚏 n. 喷嚏
sniff	 v. 嗅；嗤之以鼻 n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声
snow	 n. 雪，积雪；下雪 v. 降雪
snow	 v.  下雪； 用雪覆盖 n. 雪
snowball	 n. 雪球 v. 掷雪球；滚雪球般增大
snowman	 n. 雪人
snowy	 adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
so	 adv.  如此， 那么； 非常， 很； 这样， 那样；
so	 adv. 如此，这么；确是如此 conj. 所以；因此 pron. 这样 n. (So)人名；(柬)索
soap	 n.  肥皂
soap	 n. 肥皂 v. 将肥皂涂在……上；对……拍马屁（俚语）
sob	 v. 啜泣，呜咽；（风等）发出呜咽声 n. 啜泣，呜咽
soccer	 n.  足球
soccer	 n. 英式足球，足球
social	 adj.  社会的； 交际的， 社交的
social	 adj. 社会的，社交的；群居的 n. 联谊会；联欢会
socialism	 n. 社会主义
socialist	 n. 社会主义者；社会党党员 adj. 社会主义的
society	 n.  社会； 阶层； 社交界； 社团； 协会
society	 n. 社会；交往；社团；社交界
sock	 n. 短袜；一击 v. 重击；给……穿袜 adv. 正着地；不偏不倚地 adj. 非常成功的
sock	 v. 重击，痛打
socket	 n. 插座；窝，穴；牙槽 vt. 给…配插座
sofa	 n.  沙发
sofa	 n. 沙发；长椅
soft	 adj.  柔软的， 细嫩的， 光滑的； 轻的， 轻柔的； 柔和的；
soft	 adj. 软的，柔软的；温柔的，温和的；软弱的；笨的 adv. 柔软地；温和地 n. 柔性；柔软的东西；柔软部分
softball	 n. 垒球；垒球运动
software	 n. 软件
soil	 n. 土地；土壤；国家；粪便；务农；温床 v. 弄脏；污辱
solar	 adj. 太阳的；日光的；利用太阳光的；与太阳相关的 n. 日光浴室
soldier	 n.  士兵， 军人
soldier	 n. 军人；[昆] 兵蚁；懒汉；一片烤面包 v. 当兵；磨洋工；坚持干；假称害病
solid	 adj. 固体的；可靠的；立体的；结实的；一致的 n. 固体；立方体
solid	 adj. 固体的；实心的；结实的，稳固的；可靠的；纯质的，纯色的 n.  固体
solution	 n.  解决， 解答， 解决办法； 溶液
solve	 v.  解决， 处理； 解答
some	 adj. 一些；某个；大约；相当多的 pron. 一些；若干；其中的一部分；（数量不确切时用）有些人 adv. 非常；相当；<美>稍微
some	 adv.  大约； 稍微 pron. 一些，若干 adj. 一些，若干，有些；某个，某一
somebody	 n. 大人物；重要人物 pron. 有人；某人
somebody	 pron. 某人，有人 n.  重要人物
someone	 pron.  有人， 某人
someone	 pron. 有人，某人
something	 pron. 某事；某物 n. 重要的人；值得重视的事 adv. 非常；有点；大约 adj. 大约；有点象
something	 pron. 某物，某事 n.  重要的事物， 有一定意义的事物
sometimes	 adv.  不时； 有时， 间或
sometimes	 adv. 有时，间或
somewhere	 adv.  在某处， 到某处； 大约， 大概
somewhere	 adv. 在某处；到某处 n. 某个地方
son	 n.  儿子； 孩子
son	 n. 儿子；孩子（对年轻人的称呼）；男性后裔
song	 n.  歌， 歌曲； 鸣声， 歌声
song	 n. 歌曲；歌唱；诗歌；鸣声
soon	 adv.  不久， 即刻； 早， 快
soon	 adv. 快；不久，一会儿；立刻；宁愿
sorrow	 n. 悲伤；懊悔；伤心事 v. 懊悔；遗憾；感到悲伤
sorry	 adj.  对不起的， 抱歉的； 遗憾的， 惋惜的； 可怜的，
sorry	 adj. 遗憾的；对不起的，抱歉的 int. 对不起，抱歉（表示委婉的拒绝等）
sort	 n. 种类；方式；品质 v. 分类；协调；交往
sort	 v.  分类， 整理 n. 种类，类别；某一种人，某一类人
soul	 n. 灵魂；心灵；精神；鬼魂 adj. 美国黑人文化的
sound	 v.  发声， 发出响声； 测量…的深度， 探测； 听起来， 似 n. 声音，声响
sound	 v. 听（诊）；测量，测…深；使发声；试探；宣告 n. 声音，语音；噪音；海峡；吵闹；听力范围；[医] 探条 adj. 健全的，健康的；合理的；可靠的；有效彻底的 adv. 彻底地，充分地
soup	 n.  汤
soup	 n. 汤，羹；马力 v. 加速；增加马力
sour	 adj.  酸的， 酸味的； 馊的， 酸臭的； 乖戾的， 尖酸刻薄的； 发酸的； 酸痛的
sour	 adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的 v. 发酵；变酸；厌烦 n. 酸味；苦事
south	 adv. 向南方 adj.  南方的， 南部的， 来自南方的 n. 南，南部
south	 n. 南方，南边；南部 adv. 在南方，向南方 adj. 南的，南方的
southeast	 adv. 向东南 adj.  东南方的， 东南部的， 来自东南的 n. 东南，东南
southern	 adj.  南方的， 南部的
southern	 adj. 南的；南方的 n. 南方人
southwest	 n. 西南方 adj. 西南的 adv. 往西南；来自西南
souvenirs	 n. 纪念品；旅游纪念品；回忆
sow	 v. 播种；散布；使密布 n. 母猪
space	 n.  空地， 场地； 空间， 太空； 篇幅； 间隔， 距离； 持续时间， 期间
space	 n. 空间；太空；距离 v. 留间隔
spaceship	 n. [航] 宇宙飞船
spade	 n. 铁锹，铲子 v. 铲；把……弄实抹平
spaghetti	 n. 意大利式细面条
spare	 adj. 备用的；多余的；空闲的 v.  留出， 抽出； 饶恕， 不伤害； 使免遭，
spare	 v. 节约，吝惜；饶恕；分出，分让 adj. 多余的；瘦的；少量的 n. 剩余；备用零件
sparrow	 n. 麻雀；矮小的人
speak	 v.  [spoke-spoken] 说话， 讲话； 演说， 发言； 表达意见； 说， 讲；
speak	 v. 说话；演讲；表明；陈述
speaker	 n. 演讲者；扬声器；说话者；说某种语言的人
spear	 n. 矛，枪 v. 用矛刺
special	 adj.  特殊的， 特别的； 专门的， 特设的； 附加的，
special	 n. 特使，特派人员；特刊；特色菜；专车；特价商品 adj. 特别的；专门的，专用的
specialist	 n. 专家；专门医师 adj. 专家的；专业的
specially	 adv.  特意地， 专门地； 格外地， 特别地， 特殊地
specific	 adj. 特定的，特有的；明确的，具体的
specifically	 adv.  明确地， 特定地， 具体地
speech	 n.  讲话， 演说； 言语， 言论； 说话方式
speech	 n. 演讲；讲话；[语] 语音；演说
speed	 n.  速度； 迅速， 快
speed	 v. 超速，加速；加速，迅速前行；兴隆 n. 速度，速率；迅速，快速；昌盛，繁荣
spell	 n.  咒语， 符咒； 魅力； 连续的一段时间
spell	 v. 拼，拼写；意味着；招致；拼成；迷住；轮值 n. 符咒；一段时间；魅力
spelling	 n. 拼写；拼字；拼法 v. 拼写；意味着（spell的ing形式）；迷住
spend	 v.  [spent-spent] 花费， 用； 花； 度过， 消磨； 消耗， 用尽
spend	 v. 度过，消磨（时光）；花费；浪费；用尽 n. 预算
spider	 n.  蜘蛛
spin	 v. 旋转；纺纱；吐丝；晕眩 n. 旋转；疾驰
spirit	 n. 精神；心灵；情绪；志气；烈酒 v. 鼓励；鼓舞；诱拐
spirit	 n. 精神；灵魂，幽灵；勇气，气概；
spiritual	 n. 圣歌（尤指美国南部黑人的） adj. 精神的，心灵的
spit	 v. 吐痰；吐口水；发出劈啪声 n. 唾液
splendid	 adj. 辉煌的；灿烂的；极好的；杰出的
split	 v. 分离；使分离；劈开；离开；分解 n. 劈开；裂缝 adj. 劈开的
spoken	 adj.  口头的， 口语的
spoken	 adj. 口语的，口头的 v. 说（speak的过去分词）
sponsor	 n. 赞助者；主办者；保证人 v. 赞助；发起
spoon	 n. 匙，勺子；一杓的量 v. 用匙舀；使成匙状
spoon	 v.  用匙舀 n. 匙，勺，调羹
spoonful	 n. 一匙；一匙的量
sport	 n. 运动；游戏；娱乐；运动会；玩笑 v. 游戏 adj. 运动的
sport	 v.  炫耀， 卖弄 n. 运动；
spot	 n.  地点， 处所； 斑点， 污点； 少量
spot	 n. 地点；斑点 v. 认出；弄脏；用灯光照射 adj. 现场的；现货买卖的 adv. 准确地；恰好
spotlight	 v.  用聚光灯照； 特别关注； 突出报道 n. 聚光灯；公众的注意
spray	 n. 喷雾；喷雾器；水沫 v. 喷射
spread	 v. 传播；伸展 n. 传播；伸展 adj. 伸展的
spread	 v. 展开，伸开；散布，蔓延；涂，敷 n.  传播， 蔓延； 幅度， 范围； 涂抹在食物上
spring	 n.  春天， 春季； 弹簧， 发条； 泉； 跳， 跃
spring	 n. 春天；弹簧；泉水；活力；跳跃 adj. 春天的 v. 生长；涌出；跃出；裂开
spy	 v. 侦察；发现；暗中监视 n. 间谍；密探
